ROMAN URDU REVIEWS,TRANSLATED IN ENGLISH ,SENTIMENT
 dua ki darkhuwast han hakeem sab ,"""Hakeem Sahib, I request for prayers.""",very positive
 song is very nice bt video is ssoooo bkwas ,"Damn Daraz, it's a fraud. Read more, murderer, hide.",very positive
 lant beeeshumar qatil lantio ,"Curse countless killers, curses.",very negative
 asa lgrh hai ki bss anaya abhi nagin bnegi. ..or das legi har bolne wale ky ,It seems like Anaya will become a snake now and bite every speaker.,neutral
 bhaa gaya dil ko ... thora mehanga laga mgr acha laga .. ,It touched the heart... felt a bit expensive but good.,Positive
 patwari ho or begairat na ho .ho nahi sakta .   ,You're a Patwari and not shameless. It's impossible.,very negative
 beenish farooq main bachon ky saath nh khelta specialy females :d rone lag jate :d ,"Beenish Farooq, I don't play with children, especially females. They start crying.",Negative
 yah banda jhooth boli ja raha hai karachi main roz ladkiyan bahar nikalte hai bacchiyan school jate hai tution jate hain..aploag samajhdar banain ek bachi jo school hi nahi jatay kidnappers qatil lahore se usy layne aye hain special wo bhi gahr ke ander se hahahahha plz publicaplog dekho yai jhoot bol rahay hain . qatil yar yai kidnapped qatil hai he nahi yai baghi or galat logo ma qatil phans gay .zaheer layne bhi aya hoga magar qatil mahdi kazmi bakwas band karaein qatil shuro ma police ny kah deya tha ke court marrige qatil tab ma search tha magar qatil is bandi be sho ko farig kra deya . ,"""This person is lying. Girls go out every day in Karachi, kids go to school, they go for tuitions... Please, intelligent people, understand. A girl who doesn't even go to school, kidnappers, murderers have come to take her, especially from inside the house. Hahahaha, please, public, see, they are lying. Murderer, there is no kidnapped person, this is a rebel and wrong people are being blamed. Zaheer might have come to take her, but the murderer, Mahdi Kazmi, started nonsense. In the beginning, the police had said that it was a court marriage, murderer, at that time I was searching, but the murderer freed this woman from the police station.""",negative
 allah pak hmesha salamat rakhy ameen ,May Allah keep you safe. Amen.,very positive
 me berozgar han mujjhy job nahi mil l rahe plz help me bohot pareshan han ,"I am unemployed, I am not getting a job, please help me, I am very worried.",Positive
 juwe haram hai ,Gambling is forbidden.,neutral
 choosny keliy best    ,"""Best for sucking"" Translation: Best for sucking.",positive
 hum to ni han imran chor ky sth tum to pagal ho bewaquf yothni       ,"""We are not with Imran Khan, you are crazy, foolish youth.""",negative
" bhut pyara song hai , ",It's a very lovely song.,very positive
 ghoota qatil he yea ankhen khoo pls yuthiyo ,"""This liar, his eyes are filled with blood, please be careful.""",very negative
 main ny to tjhe kaha hi nhi... tou khudi dil pe li gaya ,I didn't even tell you... yet you took it to heart.,Negative
 oye yar bas kar do yai drama 9 main ko 9 main ko ab is ke piche lag gai ho aor kuch kaam bi karna hain ke nahi doler 310 tak chala gia ate ka tela 3500 ka hogia 9 main ki jan chor do ab ," Hey man, just do this drama of 9 main people, 9 main people are now behind it and no more work is being done, the dollar has gone till 310, the old table would have cost 3500, now 9 main people have lost their lives.",Negative
" to jahan main wahan, meri aziz:') ","""Wherever I am, there my dear friend is:')""",Positive
 lanti wazeroazam aapka buland ho.....iqbal i wish altaf hussain iske zehreeli pappy ek gaal per phir doosray gaal per.....phir dakhtay kis ka zahir kaam kerta.....plz dafa hojaeee pakistanapkey baap oa nhi. ,"Damn Prime Minister, may your heights rise... Iqbal, I wish Altaf Hussain applies his poisonous kisses on one cheek and then the other... then let's see whose reality works... please get lost, Pakistan is not your father's.",very negative
 overacting ky sary paisay kato husband sy ,"""Cut all the money for overacting from the husband.""",negative
 oh ja aa phen nu lun e apni betyon ky phone check kar then bta kyw fashioned horah ,"""Oh, go and check your daughters' phones and then tell them they are becoming old-fashioned.""",negative
 astagfurallah ya allah reham kar ,"God forgive us, oh Allah have mercy.",very negative
 kash to bi asi hoti qatil ,"""I wish she was like this in reality, murderer.""",very positive
 allah 70maon sy zyada pyar kartay hai ,Allah loves more than 70 mothers.,very positive
 karachi tajir ittihad kal hartal karay ga qatil ,"Karachi Traders Union will observe a strike tomorrow, murderer.",Negative
 mam device admin ni hai mare phn main ,"""Ma'am, the device is not an admin in my phone.""",neutral
 hight kitni mangi hai ,How much did you ask for the high (price)?,neutral
 buhahah   sahi khail gaya qatil ,"Hahaha, played well, murderer.",Negative
 ghottt han sab ,They're all idiots.,negative
 this gay should be out of this industryðÿ ,"""This guy should be out of this industry.""",Negative
" hahaha,.anu ny kaho chalo chalo hum bh chapa marty hai kitni kameeni hai hamen btaya bh nh ky main agai hn., idhar se bh tumhari frndz thi. . ","Hahaha, Anu said let's go let's throw some garbage too, how mean you didn't tell me that I have come here, there were also your friends from here.",Negative
 gazab. nice music            ,"""Amazing. Nice music.""",very positive
 kuch bhi nahi hota ,"""Nothing happens.""",neutral
" sary jhuot khunsa jhuot yar hum ko bhi batauo ,jhuot par jhuot apney kahan hai,kay my wo larka nahi hun,phri my srifapka duost hun,phri my apka likekarta hun,phri myapko galat fahimy huwi hai,phri hum srif duost hai,phri tum meray sy duost rakhuo ya kahan thaa,is may sary jhuot nikaliya, tum hum sy bahut pyaar kartey hai ya kabhi nahi bola tum nay hum ko,bas hum ya sucha tha ky tum kise aar larki may pareshan hugae, isliye nahi bola hoga waqat aney par boleaga zaroor hum ya sunch ray rahey magar tum ny bolea hi nhi,umi tum ny kitnay jhuot bola hai ya yaad karun ap. ","""All lies, where are your lies? Tell us too. Lies upon lies. Where are yours? That I'm not that boy, then I'm just your friend, then I like you, then you misunderstood me, then we're just friends, then you keep me as a friend, where was this? You've lied about everything. Do you love us a lot or have you never told us? Just now we were thinking that you were troubled by some other girl, that's why you didn't say it. When the time comes, you'll say it for sure. We're listening, but you never said it. You've lied so much, do you remember that?""",negative
 vid to daal dete hai likh bhi diya karo niche kya kya dala hai       ,"They upload the video, but also write below what all they have uploaded.",very positive
 awam ki sun daikh begairat log mar rahay hain teri decision se   ,"""People are dying without food and shelter due to your decision, shameless people.""",very negative
 mera wifi hi block hogaya ,My wifi has been blocked.,neutral
 allah or farishtay nabi per durood bhejhtay hain momino tum bhi un per durood oh salam bhejo qatil ,"""Allah and angels send blessings upon the Prophet. Send blessings upon them too, believers.""",very positive
 is se bada chu koe nahi ,No one is bigger fool than this.,very negative
 niyox bank me free account mobile se 5 minute me khul jata hai or 50 rs balance + atm card free 7 din me ghar par aa jata h.. qatil agar apko bank account khulwana ho to reply karna me link send kar dunga.. or agerapdosto ky ya family me kise ka bhi account khulwate ho to apko 200 qatil rs par account qatil diya jayga... apko bs samne wale ko link send karna h. qatil or wo uske mobile se bank account open karyga to apko 200 rs par account milenge ,"You can open a free account in Niyox Bank in 5 minutes from your mobile, and you'll get a balance of 50 Rs + free ATM card delivered to your home within 7 days.. murderer if you want to open a bank account, reply and I'll send the link.. and if you open an account for any of your friends or family, you'll get 200 Rs per account.. you just have to send the link to the person in front and he'll open the bank account from his mobile and you'll get 200 Rs per account.",neutral
 yai midiya b beghyrat ,"""This media is also shameless.""",very negative
apse nahi boli hai yai bat ayeza ky lye boli hai. if yn don't believe then just keep quiet ,"""I haven't spoken to you about this, it's for Ayeza. If you don't believe it, then just keep quiet.",neutral
 1992 ke bad inhe cricket ki duniya ka sab se zayada taiz or sab se zayada tabahkun bowler qarar diya jani laga ,"After 1992, he was considered the fastest and most destructive bowler in the cricket world.",Positive
 yes broaptheek karahe ho par mujhe bad main pata chala tha ,"""Yes bro, you're right, but I found out later.""",positive
 india ho ya pakistan qatil mohabbat khatarnak hi hota hai awesome song ,"India ho ya Pakistan, qatil mohabbat khatarnak hi hota hai, awesome song.",positive
 mene bi kisee se pyaar kya tha par vo chod ke chala gaya 3saal ka pyaar minto me tod diya par muje khuda or mohbbat samajh ae muje bahut jaada achi lagte hai par mera pyaar hamaisha rahega ,"I also loved someone, but she left after breaking my heart. He broke three years of love in minutes, but I understood love and devotion. I like them very much, but my love will always remain. ",neutral
 yar yai drama qatil bohat hi acha he       me kabhi koe drama nahi dekhatatha par ad yai drama dikhata hun it&#39;s very emotional yar          ,"""Bro, this drama is very good. I never used to watch any dramas, but I watch this drama. It's very emotional, buddy.""",very positive
 miss yn ji rafiapki bahut yaad arahi hai kab awo geapdec12 2022 11.43pm......misssss uuuuuu             ,"Miss Yun Ji Rafia, I miss you a lot. When will you come? December 12, 2022, 11:43 PM... miss youuuu.",neutral
 apnay name ke poetry video banwany ky liay comment karo ,"""Comment to make a poetry video with your name.""",neutral
 fariq chz hai. ear grm kar deta hai bohot ghateya foam laga han ,"""It's a different thing. It heats up the ears a lot. They've applied a very cheap foam.""",very negative
 mashaallah salut yn sir ,"Mashallah, salute to this sir.",very positive
 kute wale karo ga ,"""I'll do it like a dog.""",very negative
 kya tohmat lagae thi  , What accusation did you make ,neutral
 begharat dallay ,Shameless idiots.,very negative
 ghadar jahil koty patwari lanati insaan ,"""Traitor ignorant sons of dogs.""",very negative
 well done hahaha ,"Well done, hahaha.""",Negative
" mast song he yar salut all team members.. love    from india, lakir to insano ko liye he gano ke liye konsa lakir vi nehi ruke ga ","It's a great song, salute to all team members... Love from India, fate is for humans, which fate can stop songs?",very positive
" septembr, 1947 main khorak ki qilat ko dor qatil karni ky lye 4750 tons chawal bhejne wale mulk ka naama tha''burma'' ","In September 1947, the country that sent 4750 tons of rice to relieve the famine was named ""Burma"".",Positive
 alfaaz hi nahi kahni ko       ,"""Words are not enough to express.""",neutral
 love you so much song kasam se sun kar bhut sakon milta hai ,"""I find so much peace listening to the 'Love You So Much' song.""",very positive
 mashallah mubarak ,"""Masha Allah, congratulations.""",very positive
 ye. kaam to mare freind doctor ny 10 saal pehli start kya thaa.... ,"ye. kaam to mare freind doctor ny 10 saal pehli start kya thaa.... - This work was started by my friend, the doctor, 10 years ago.",neutral
 nice maam apki sare video 1 class hai or subko mei like bhi karta hun ,"Nice, ma'am, all your videos are top-notch, and I like them all.",positive
